Offset(P)            #Ptr   #Hnd Access Name
------------------ ------ ------ ------ ----
0x000000001de01b00      2      1 ------ \Device\Afd\Endpoint
0x000000001de079c0      1      1 RW-rwd \Device\HarddiskVolume1\Users\Administrator\AppData\Local\Microsoft\Windows\Explorer\thumbcache_32.db
0x000000001de081f0      2      0 R--r-d \Device\HarddiskVolume1\Windows\System32\conhost.exe
0x000000001de09900      2      0 R--rwd \Device\HarddiskVolume1\Users\Administrator\Desktop\desktop.ini
0x000000001de0ca10     15      0 R--r-d \Device\HarddiskVolume1\Windows\System32\sqlceqp30.dll
0x000000001de0d070      2      1 ------ \Device\NamedPipe\Winsock2\CatalogChangeListener-1f4-0
0x000000001de0d6d0      2      1 ------ \Device\Afd\Endpoint
0x000000001de0e9f0      2      1 ------ \Device\Afd\Endpoint
0x000000001de0fbf0      2      1 ------ \Device\NamedPipe\wkssvc
0x000000001de0fe20      1      1 ------ \Device\NamedPipe\wkssvc
0x000000001de10a40      2      1 ------ \Device\Afd\Endpoint
0x000000001de1cd10     13      0 R--r-d \Device\HarddiskVolume1\Windows\System32\schedcli.dll
0x000000001de1d710      5      0 R--r-d \Device\HarddiskVolume1\Windows\System32\wbem\ntevt.dll
0x000000001de1ea70     12      0 R--r-d \Device\HarddiskVolume1\Windows\System32\mssph.dll
0x000000001de25a90      1      1 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\KernelBase.dll.mui
0x000000001de266d0      1      1 -W-rw- \Device\HarddiskVolume1\Users\ADMINI~1\AppData\Local\Temp\FXSAPIDebugLogFile.txt
0x000000001de26820      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac
0x000000001de28070      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\FXSAPI.dll
0x000000001de284c0      4      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000001de2a070      9      0 R--r-d \Device\HarddiskVolume1\Windows\System32\zipfldr.dll
0x000000001de2e370     14      1 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\FXSRESM.dll.mui
0x000000001de2e590     14      0 R--r-d \Device\HarddiskVolume1\Windows\System32\FXSRESM.dll
0x000000001de2e6e0      3      1 R--rwd \Device\HarddiskVolume1\ProgramData\Microsoft\Windows\Start Menu
0x000000001de2ef20      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac
0x000000001de2f210      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac
0x000000001de2f420     16      0 R--r-d \Device\HarddiskVolume1\Windows\System32\msxml3r.dll
0x000000001de2f6c0      1      1 RW-rwd \Device\HarddiskVolume1\Users\Administrator\AppData\Local\Microsoft\Windows\Explorer\thumbcache_sr.db
0x000000001de2fd00     11      0 R--r-d \Device\HarddiskVolume1\Windows\Microsoft.NET\Framework64\v2.0.50727\PerfCounter.dll
0x000000001de32dd0      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\FXSST.dll
0x000000001de34840      2      0 -W---- \Device\HarddiskVolume1\Windows\System32\LogFiles\Scm\eaca24ff-236c-401d-a1e7-b3d5267b8a50
0x000000001de34ba0      2      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000001de46dd0     16      0 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\UIRibbon.dll.mui
0x000000001de46f20      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\spool\drivers\x64\3\mxdwdui.dll
0x000000001de477a0     10      0 R--r-d \Device\HarddiskVolume1\Windows\System32\UIAnimation.dll
0x000000001de61f20     13      0 R--r-- \Device\HarddiskVolume1\Windows\Fonts\corbel.ttf
0x000000001de65dc0     11      0 R--r-- \Device\HarddiskVolume1\Windows\Fonts\cambria.ttc
0x000000001de68470     16      0 R--r-- \Device\HarddiskVolume1\Windows\Fonts\sserife.fon
0x000000001de688f0      7      0 R--r-- \Device\HarddiskVolume1\Windows\Fonts\Gabriola.ttf
0x000000001de68e20     13      0 R--r-- \Device\HarddiskVolume1\Windows\Fonts\comic.ttf
0x000000001de69bf0     14      0 R--r-- \Device\HarddiskVolume1\Windows\Fonts\segoepr.ttf
0x000000001de74aa0     16      0 R--r-- \Device\HarddiskVolume1\Windows\Fonts\coure.fon
0x000000001de7a070      1      1 RW-rwd \Device\HarddiskVolume1\Users\Administrator\AppData\Local\Microsoft\Windows\Explorer\thumbcache_sr.db
0x000000001de7d070      1      1 RW-rwd \Device\HarddiskVolume1\Users\Administrator\AppData\Local\Microsoft\Windows\Explorer\thumbcache_32.db
0x000000001de923c0     16      0 R--r-- \Device\HarddiskVolume1\Windows\Fonts\vgafix.fon
0x000000001de93070      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\amd64_microsoft.vc80.crt_1fc8b3b9a1e18e3b_8.0.50727.4940_none_88df89932faf0bf6
0x000000001de94070      3      0 R--rw- \Device\HarddiskVolume1\Program Files\VMware\VMware Tools\suspend-vm-default.bat
0x000000001de954a0     16      0 R--r-- \Device\HarddiskVolume1\Windows\Fonts\serife.fon
0x000000001de95970     16      0 R--r-- \Device\HarddiskVolume1\Windows\Fonts\smalle.fon
0x000000001dea9770     15      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000001deb35f0      5      1 RW-rw- \Device\HarddiskVolume1\ProgramData\Microsoft\RAC\Temp\sql227E.tmp
0x000000001deb4cd0     13      0 R--r-d \Device\HarddiskVolume1\Windows\System32\perfproc.dll
0x000000001dec08c0     13      0 R--r-d \Device\HarddiskVolume1\Windows\winsxs\amd64_microsoft.vc80.crt_1fc8b3b9a1e18e3b_8.0.50727.4940_none_88df89932faf0bf6\msvcr80.dll
0x000000001dec0a10      1      1 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\KernelBase.dll.mui
0x000000001ded0580      7      0 R--r-d \Device\HarddiskVolume1\Windows\System32\winbrand.dll
0x000000001ded1210     16      0 R--r-- \Device\HarddiskVolume1\Windows\System32\RacRules.xml
0x000000001e03b070     19      1 RW-r-- \Device\HarddiskVolume1\Windows\System32\winevt\Logs\Microsoft-Windows-Windows Firewall With Advanced Security%4Firewall.evtx
0x000000001e03b780     18      1 RW-r-- \Device\HarddiskVolume1\Windows\System32\winevt\Logs\Microsoft-Windows-NCSI%4Operational.evtx
0x000000001e03bf20      1      1 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\setupapi.dll.mui
0x000000001e03f1e0      1      1 ------ \Device\NamedPipe\srvsvc
0x000000001e0405f0      1      1 R--rw- \Device\HarddiskVolume1\Windows\System32
0x000000001e0413e0      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac
0x000000001e0422d0      1      1 R--r-- \Device\HarddiskVolume1\Windows\Registration\R000000000006.clb
0x000000001e0433c0     13      0 R--r-d \Device\HarddiskVolume1\Windows\System32\wdiasqmmodule.dll
0x000000001e0453d0     13      0 R--r-- \Device\HarddiskVolume1\Windows\Fonts\georgia.ttf
0x000000001e046710      4      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000001e046860      9      0 R--r-d \Device\HarddiskVolume1\Windows\System32\SyncCenter.dll
0x000000001e047910      1      1 RW-rwd \Device\HarddiskVolume1\Users\Administrator\AppData\Local\Microsoft\Windows\Explorer\thumbcache_idx.db
0x000000001e04ab20     12      0 R--r-d \Device\HarddiskVolume1\Windows\System32\radardt.dll
